"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\camil\Desktop\React\MrStore-React\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\camil\Desktop\React\MrStore-React\dist\assets\browser-zSLbZ2W-.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\camil\Desktop\React\MrStore-React\dist\assets\index-D7JG3kWG.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 2, 80
"c:\Users\camil\Desktop\React\MrStore-React\dist\assets\index-DG50Lh2O.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\camil\Desktop\React\MrStore-React\dist\index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\camil\Desktop\React\MrStore-React\eslint.config.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\camil\Desktop\React\MrStore-React\index.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\camil\Desktop\React\MrStore-React\package-lock.json", "JSON", 5379, 0, 0, 0, 0, 0, 0, 1, 5380
"c:\Users\camil\Desktop\React\MrStore-React\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\camil\Desktop\React\MrStore-React\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\camil\Desktop\React\MrStore-React\src\components\ErrorBoundry.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 2, 45
"c:\Users\camil\Desktop\React\MrStore-React\src\components\FormAgregarDireccion.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 7, 64
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Glider.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 1, 3, 62
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 356, 0, 4, 13, 373
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\DetPedidos.jsx", "JavaScript JSX", 0, 0, 0, 0, 576, 0, 8, 30, 614
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\DetalleProd.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 1, 8, 137
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 0, 8, 82
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Inventario.jsx", "JavaScript JSX", 0, 0, 0, 0, 682, 0, 12, 37, 731
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 9, 78
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Pedidos.jsx", "JavaScript JSX", 0, 0, 0, 0, 289, 0, 4, 23, 316
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Perfil.jsx", "JavaScript JSX", 0, 0, 0, 0, 256, 0, 8, 27, 291
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 9, 9, 84
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Pages\Tienda.jsx", "JavaScript JSX", 0, 0, 0, 0, 450, 0, 9, 25, 484
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Product.jsx", "JavaScript JSX", 0, 0, 0, 0, 188, 0, 10, 8, 206
"c:\Users\camil\Desktop\React\MrStore-React\src\components\ProductsCatalog.jsx", "JavaScript JSX", 0, 0, 0, 0, 251, 0, 5, 5, 261
"c:\Users\camil\Desktop\React\MrStore-React\src\components\Sections.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\camil\Desktop\React\MrStore-React\src\css\OrderHistory.css", "PostCSS", 0, 0, 0, 0, 0, 201, 1, 38, 240
"c:\Users\camil\Desktop\React\MrStore-React\src\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 1683, 74, 331, 2088
"c:\Users\camil\Desktop\React\MrStore-React\src\js\dateFormat.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\camil\Desktop\React\MrStore-React\src\js\supabase.js", "JavaScript", 0, 0, 0, 294, 0, 0, 11, 28, 333
"c:\Users\camil\Desktop\React\MrStore-React\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 4, 5, 43
"c:\Users\camil\Desktop\React\MrStore-React\vite.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 2, 9
"Total", "-", 5417, 5, 41, 427, 3683, 1885, 162, 649, 12269